时间,万公里,时间,万公里,中国,150000
2021,528.07,2021年,15.07,美国,100000
2020,519.81,2020年,14.63,加拿大,18570
2019,501.25,2019年,13.99,德国,12400
2018,484.65,2018年,13.17,法国,11300
2017,477.35,2017年,12.7,西班牙,9763
2016,469.63,2016年,12.4,意大利,6514
2015,457.73,2015年,12.1,日本,3803
2014,445.39,2014年,11.18,英国,2335
2013,435.62,2013年,10.31,,
2012,423.75,2012年,9.76,,
2011,410.64,2011年,9.32,,
2010,400.82,2010年,9.12,,
2009,386.08,2009年,8.55,,
2008,373.02,2008年,7.97,,
2007,358.37,2007年,7.8,,
2006,345.7,2006年,7.71,,
2005,334.52,2005年,7.54,,
2004,187.07,2004年,7.44,,
2003,180.98,2003年,7.3,,
2002,176.52,2002年,7.19,,
2001,169.8,2001年,7.01,,
2000,167.98,2000年,6.87,,
1999,135.17,1999年,6.74,,
1998,127.85,1998年,6.64,,
1997,122.64,1997年,6.6,,
1996,118.58,1996年,6.49,,
1995,115.7,1995年,6.24,,
1994,111.78,1994年,5.9,,
1993,108.35,1993年,5.86,,
1992,105.67,1992年,5.81,,
1991,104.11,1991年,5.78,,
1990,102.82,1990年,5.79,,
1989,101.43,1989年,5.7,,
1988,99.96,1988年,5.62,,
1987,98.22,1987年,5.6,,
1986,96.28,1986年,5.58,,
1985,94.24,1985年,5.52,,
1984,92.67,1984年,5.48,,
1983,91.51,1983年,5.46,,
1982,90.7,1982年,5.33,,
1981,89.75,1981年,5.39,,
1980,88.83,1980年,5.33,,
1979,87.58,1979年,5.3,,
1978,89.02,1978年,5.17,,
1977,85.56,1977年,5.06,,
1976,82.34,1976年,4.91,,
1975,78.36,1975年,4.86,,
1974,73.79,1974年,4.75,,
1973,71.56,1973年,4.66,,
1972,69.99,1972年,4.63,,
1971,67.54,1971年,4.53,,
1970,63.67,1970年,4.37,,
1969,60.06,1969年,4.17,,
1968,57.17,1968年,3.88,,
1967,55.75,1967年,3.86,,
1966,54.36,1966年,3.93,,
1965,51.45,1965年,3.8,,
1964,47.92,1964年,3.69,,
1963,46.35,1963年,3.5,,
1962,46.35,1962年,3.46,,
1961,47.74,1961年,3.45,,
1960,51.95,1960年,3.39,,
1959,50.79,1959年,3.23,,
1958,42.18,1958年,3.02,,
1957,25.46,1957年,2.67,,
1956,22.63,1956年,2.65,,
1955,16.73,1955年,2.56,,
1954,14.61,1954年,2.45,,
1953,13.71,1953年,2.38,,
1952,12.67,1952年,2.29,,
1951,11.44,1951年,2.23,,
1950,9.96,1950年,2.22,,
1949,8.08,1949年,2.18,,
