世界军事力量排名,各国拥有核弹头数量,各国装备的坦克和装甲车数量,各国装备的战斗机和直升机数量,各国装备的水面舰艇和潜艇数量,陆、海、空军人数
第一名：美国,美国：6600枚,美国：2.6万辆和4.4万辆,美国：2800架和3500架,美国：281艘和92艘,中国：160万、40万、25.5万
第二名：俄罗斯,俄罗斯：6300枚,俄罗斯：2.2万辆和3.6万辆,俄罗斯：2500架和3000架,俄罗斯：310艘和42艘,美国：51万、37.9万、37.6万
第三名：中国,法国：500枚,中国：1.9万辆和3万辆,中国：1750架和1250架,中国：315艘和85艘,印度：110万、17万、6.1万
第四名：法国,中国：450枚,印度：1.3万辆和2.1万辆,印度：1080架和1115架,印度：200艘和27艘,俄罗斯：86万、19万、18.8万
第五名：英国,英国：380枚,朝鲜：9000辆和1.6万辆,朝鲜：553架和410架,朝鲜：93艘和19艘,朝鲜：95万、11万、4.7万
第六名：德国,印度：70枚,,,,
第七名：印度,巴基斯坦：30枚,,,,
第八名：朝鲜,,,,,
第九名：以色列,,,,,
第十名：巴基斯坦,,,,,
